
amount,vendor,account,posting_date,user_id,description
1149.01,Vendor_11,Finance,2023-01-21,1082,Regular business transaction
958.52,Vendor_11,IT,2023-03-29,1099,Regular business transaction
1117.77,Vendor_2,HR,2023-10-21,1001,Regular business transaction
721.24,Vendor_1,HR,2023-11-10,1021,Regular business transaction
268.27,Vendor_16,Admin,2023-07-09,1061,Regular business transaction
1181.03,Vendor_15,Legal,2023-02-20,1054,Regular business transaction
992.66,Vendor_5,IT,2023-05-15,1020,Regular business transaction
1106.67,Vendor_9,Admin,2023-10-01,1003,Regular business transaction
1028.54,Vendor_9,Marketing,2023-02-22,1001,Regular business transaction
1199.4,Vendor_20,HR,2023-09-21,1046,Regular business transaction
884.06,Vendor_18,HR,2023-01-02,1005,Regular business transaction
652.37,Vendor_10,HR,2023-11-06,1092,Regular business transaction
1221.54,Vendor_8,Legal,2023-08-03,1061,Regular business transaction
1051.41,Vendor_8,Finance,2023-07-27,1081,Regular business transaction
1702.22,Vendor_13,Sales,2023-06-06,1014,Regular business transaction
1321.3,Vendor_13,Sales,2023-12-11,1070,Regular business transaction
437.3,Vendor_8,Admin,2023-05-19,1080,Regular business transaction
589.97,Vendor_8,IT,2023-10-16,1004,Regular business transaction
1063.48,Vendor_7,Sales,2023-11-24,1011,Regular business transaction
1179.11,Vendor_2,Sales,2023-02-17,1022,Regular business transaction
1363.65,Vendor_12,Legal,2023-02-04,1064,Regular business transaction
1370.05,Vendor_3,Finance,2023-05-11,1000,Regular business transaction
719.87,Vendor_14,Admin,2023-10-10,1008,Regular business transaction
1235.26,Vendor_15,Admin,2023-12-12,1041,Regular business transaction
585.78,Vendor_7,Sales,2023-02-21,1095,Regular business transaction
915.76,Vendor_4,Legal,2023-08-19,1014,Regular business transaction
763.22,Vendor_7,IT,2023-08-31,1085,Regular business transaction
1223.11,Vendor_2,Marketing,2023-02-14,1061,Regular business transaction
1274.62,Vendor_12,HR,2023-12-06,1029,Regular business transaction
1098.63,Vendor_11,Marketing,2023-12-14,1088,Regular business transaction
789.38,Vendor_20,Finance,2023-08-21,1002,Regular business transaction
901.7,Vendor_7,Legal,2023-05-17,1061,Regular business transaction
881.35,Vendor_12,Admin,2023-11-11,1031,Regular business transaction
913.26,Vendor_9,HR,2023-04-23,1061,Regular business transaction
994.43,Vendor_17,Finance,2023-04-23,1055,Regular business transaction
497.95,Vendor_17,IT,2023-04-23,1001,Regular business transaction
802.25,Vendor_5,Sales,2023-05-06,1001,Regular business transaction
1001.18,Vendor_12,Marketing,2023-06-09,1069,Regular business transaction
1230.19,Vendor_11,IT,2023-09-12,1037,Regular business transaction
655.06,Vendor_5,HR,2023-04-08,1069,Regular business transaction
1365.42,Vendor_16,Sales,2023-07-20,1058,Regular business transaction
883.16,Vendor_6,Finance,2023-09-16,1019,Regular business transaction
670.97,Vendor_3,Admin,2023-05-27,1019,Regular business transaction
795.31,Vendor_7,HR,2023-05-08,1038,Regular business transaction
765.02,Vendor_10,IT,2023-09-20,1015,Regular business transaction
903.38,Vendor_16,Sales,2023-03-01,1001,Regular business transaction
1300.15,Vendor_9,Sales,2023-04-09,1018,Regular business transaction
1045.73,Vendor_16,IT,2023-06-01,1053,Regular business transaction
1185.29,Vendor_11,Sales,2023-04-14,1083,Regular business transaction
1365.12,Vendor_3,Legal,2023-04-09,1024,Regular business transaction
1559.73,Vendor_16,Finance,2023-06-18,1099,Regular business transaction
1142.15,Vendor_1,HR,2023-10-16,1013,Regular business transaction
1347.58,Vendor_8,Admin,2023-07-14,1016,Regular business transaction
753.8,Vendor_1,HR,2023-01-22,1029,Regular business transaction
976.87,Vendor_8,IT,2023-01-27,1097,Regular business transaction
1102.35,Vendor_1,HR,2023-11-13,1047,Regular business transaction
678.73,Vendor_14,Finance,2023-01-06,1098,Regular business transaction
1144.74,Vendor_9,Finance,2023-10-07,1092,Regular business transaction
1141.97,Vendor_3,HR,2023-04-26,1062,Regular business transaction
978.15,Vendor_1,IT,2023-05-08,1017,Regular business transaction
1213.03,Vendor_3,Legal,2023-10-07,1031,Regular business transaction
1027.74,Vendor_15,Legal,2023-05-31,1065,Regular business transaction
743.43,Vendor_17,Sales,2023-10-26,1047,Regular business transaction
691.88,Vendor_7,Finance,2023-06-19,1025,Regular business transaction
1091.33,Vendor_13,HR,2023-11-09,1035,Regular business transaction
1077.16,Vendor_13,HR,2023-11-17,1007,Regular business transaction
1286.2,Vendor_12,IT,2023-05-23,1091,Regular business transaction
1195.42,Vendor_2,Marketing,2023-10-15,1086,Regular business transaction
639.96,Vendor_17,HR,2023-06-19,1069,Regular business transaction
1360.41,Vendor_15,Legal,2023-04-11,1096,Regular business transaction
837.61,Vendor_12,Finance,2023-04-13,1067,Regular business transaction
1233.05,Vendor_6,Finance,2023-12-16,1046,Regular business transaction
770.35,Vendor_16,Finance,2023-05-04,1029,Regular business transaction
