amount,vendor,account,posting_date,user_id,description,label
1487.3,Vendor_10,HR,2023-05-14,1079,Regular business transaction,0
816.47,Vendor_1,Sales,2023-05-10,1076,Regular business transaction,0
1474.83,Vendor_19,Finance,2023-09-12,1018,Regular business transaction,0
686.46,Vendor_12,Finance,2023-06-06,1029,Regular business transaction,0
1257.45,Vendor_10,Marketing,2023-12-19,1086,Regular business transaction,0
1021.4,Vendor_14,Marketing,2023-01-08,1063,Regular business transaction,0
1012.08,Vendor_1,Finance,2023-07-29,1008,Regular business transaction,0
729.06,Vendor_14,HR,2023-05-02,1072,Regular business transaction,0
948.27,Vendor_18,Marketing,2023-01-04,1068,Regular business transaction,0
736.64,Vendor_18,HR,2023-03-18,1026,Regular business transaction,0
744.98,Vendor_8,IT,2023-06-03,1022,Regular business transaction,0
1288.25,Vendor_10,HR,2023-05-07,1023,Regular business transaction,0
1020.31,Vendor_20,Admin,2023-05-17,1032,Regular business transaction,0
688.33,Vendor_3,IT,2023-10-07,1015,Regular business transaction,0
1030.95,Vendor_20,Finance,2023-03-16,1062,Regular business transaction,0
813.5,Vendor_15,Sales,2023-08-05,1023,Regular business transaction,0
1507.55,Vendor_4,Sales,2023-09-11,1077,Regular business transaction,0
775.61,Vendor_7,Finance,2023-01-03,1076,Regular business transaction,0
328.37,Vendor_12,Finance,2023-01-31,1036,Regular business transaction,0
1526.62,Vendor_8,Legal,2023-02-27,1082,Regular business transaction,0
731.55,Vendor_18,Marketing,2023-06-02,1074,Regular business transaction,0
1099.02,Vendor_1,Finance,2023-07-13,1094,Regular business transaction,0
760.25,Vendor_8,IT,2023-09-24,1054,Regular business transaction,0
998.94,Vendor_1,Marketing,2023-12-05,1086,Regular business transaction,0
1097.52,Vendor_17,Admin,2023-01-16,1005,Regular business transaction,0
936.43,Vendor_18,IT,2023-01-21,1048,Regular business transaction,0
1473.44,Vendor_11,Sales,2023-07-03,1061,Regular business transaction,0
947.47,Vendor_8,Sales,2023-01-26,1014,Regular business transaction,0
952.27,Vendor_7,Legal,2023-07-04,1059,Regular business transaction,0
588.06,Vendor_16,Sales,2023-05-18,1066,Regular business transaction,0
1174.58,Vendor_16,Legal,2023-02-15,1087,Regular business transaction,0
876.94,Vendor_17,Finance,2023-08-23,1045,Regular business transaction,0
1127.05,Vendor_15,Sales,2023-03-05,1075,Regular business transaction,0
1023.2,Vendor_4,Legal,2023-02-03,1002,Regular business transaction,0
1299.72,Vendor_1,Legal,2023-06-06,1055,Regular business transaction,0
907.55,Vendor_19,Finance,2023-08-11,1074,Regular business transaction,0
1160.88,Vendor_16,Marketing,2023-11-17,1083,Regular business transaction,0
1389.94,Vendor_18,IT,2023-10-04,1044,Regular business transaction,0
898.34,Vendor_20,HR,2023-09-09,1026,Regular business transaction,0
946.22,Vendor_12,Admin,2023-08-16,1053,Regular business transaction,0
864.05,Vendor_3,Finance,2023-08-17,1032,Regular business transaction,0
1181.25,Vendor_20,HR,2023-10-08,1083,Regular business transaction,0
1738.49,Vendor_18,Sales,2023-10-26,1074,Regular business transaction,0
905.16,Vendor_3,Sales,2023-08-15,1030,Regular business transaction,0
549.65,Vendor_15,Marketing,2023-06-17,1035,Regular business transaction,0
1013.92,Vendor_18,Finance,2023-05-31,1038,Regular business transaction,0
630.98,Vendor_7,Sales,2023-02-18,1050,Regular business transaction,0
1165.16,Vendor_13,Marketing,2023-07-02,1000,Regular business transaction,0
1117.38,Vendor_10,Sales,2023-08-09,1051,Regular business transaction,0
1663.57,Vendor_16,IT,2023-05-04,1068,Regular business transaction,0
1069.85,Vendor_15,Finance,2023-05-12,1056,Regular business transaction,0
1046.62,Vendor_17,Admin,2023-02-24,1079,Regular business transaction,0
1213.42,Vendor_16,Marketing,2023-11-06,1084,Regular business transaction,0
948.61,Vendor_19,Admin,2023-02-14,1037,Regular business transaction,0
1407.07,Vendor_13,Sales,2023-11-12,1026,Regular business transaction,0
936.63,Vendor_13,Legal,2023-02-13,1076,Regular business transaction,0
874.25,Vendor_6,IT,2023-06-21,1026,Regular business transaction,0
1001.49,Vendor_6,Marketing,2023-11-05,1089,Regular business transaction,0
1026.93,Vendor_1,IT,2023-12-07,1030,Regular business transaction,0
1302.15,Vendor_8,Sales,2023-05-31,1098,Regular business transaction,0
978.18,Vendor_8,Admin,2023-03-25,1048,Regular business transaction,0
1145.13,Vendor_7,Legal,2023-06-14,1023,Regular business transaction,0
1173.1,Vendor_10,Marketing,2023-12-11,1093,Regular business transaction,0
880.43,Vendor_13,IT,2023-12-29,1011,Regular business transaction,0
1427.09,Vendor_4,Marketing,2023-12-04,1002,Regular business transaction,0
441.4,Vendor_5,Legal,2023-10-30,1080,Regular business transaction,0
1571.4,Vendor_4,Legal,2023-10-20,1040,Regular business transaction,0
1333.32,Vendor_19,Marketing,2023-11-16,1046,Regular business transaction,0
347.87,Vendor_15,HR,2023-06-20,1026,Regular business transaction,0
848.24,Vendor_9,Legal,2023-02-28,1016,Regular business transaction,0
902.05,Vendor_7,Sales,2023-05-23,1087,Regular business transaction,0
597.2,Vendor_12,HR,2023-07-11,1032,Regular business transaction,0
724.61,Vendor_1,Admin,2023-04-08,1070,Regular business transaction,0
744.45,Vendor_5,IT,2023-10-11,1028,Regular business transaction,0
978.57,Vendor_19,Admin,2023-01-08,1085,Regular business transaction,0
826.21,Vendor_17,Legal,2023-09-28,1030,Regular business transaction,0
1206.54,Vendor_3,Finance,2023-07-12,1012,Regular business transaction,0
